0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.000000,-0.000080,-0.000076,-0.000507,-0.000000,0.000004,0.001567,-0.000029,-0.000018,0.000012,0.000011,0.000010,0.002460,0.000198,0.000927,0.001062,-0.000290,-0.000002,-0.000242,0.000491,0.000170,0.001575,-0.000029,-0.000010,-0.000013,-0.000012,0.000009,0.002487,0.000197,-0.000923,0.001075,-0.000286,-0.000003,-0.000242,0.000489,0.000169,0.000088,0.000001,-0.000004,0.000421,0.000000,-0.000000,0.000039,-0.000000,0.000000,-0.000011,0.000009,-0.000009,0.000011,-0.000003,0.000011,0.000002,-0.000003,-0.000011,0.000003,-0.000000,0.000039,-0.000000,-0.000283,-0.000010,-0.000805,-0.000069,-0.000099,-0.000244,-0.000234,-0.000010,0.000009,-0.000009,0.000010,-0.000003,0.000012,-0.000000,-0.000000,-0.000012,0.000003,-0.000000,0.000039,0.000000,-0.000281,-0.000020,-0.000817,-0.000093,-0.000093,-0.000261,-0.000237
-0.000001,-0.000237,-0.000229,-0.001469,-0.000001,0.000016,0.004619,-0.000087,-0.000055,0.000036,0.000033,0.000028,0.007320,0.000587,0.002753,0.003143,-0.000856,-0.000008,-0.000698,0.001363,0.000466,0.004651,-0.000088,-0.000026,-0.000039,-0.000037,0.000028,0.007423,0.000588,-0.002753,0.003191,-0.000849,-0.000010,-0.000700,0.001357,0.000465,0.000214,0.000005,-0.000015,0.001262,0.000001,-0.000001,0.000114,-0.000000,0.000000,-0.000031,0.000026,-0.000026,0.000031,-0.000007,0.000034,0.000007,-0.000008,-0.000035,0.000008,-0.000000,0.000116,-0.000000,-0.000888,-0.000004,-0.002176,-0.000166,-0.000268,-0.000615,-0.000605,-0.000028,0.000026,-0.000025,0.000028,-0.000009,0.000036,-0.000000,-0.000002,-0.000037,0.000009,-0.000000,0.000116,0.000000,-0.000889,-0.000025,-0.002205,-0.000218,-0.000256,-0.000652,-0.000611
0.000044,-0.000284,-0.000416,-0.000546,0.000534,-0.000568,0.005597,-0.000732,0.000638,0.000057,0.000053,0.000047,0.011948,0.000951,0.004491,0.005159,-0.001363,-0.000015,-0.001202,0.002554,0.000806,0.005332,0.000495,-0.001181,-0.000063,-0.000059,0.000050,0.011910,0.000943,-0.004380,0.004980,-0.001269,-0.000040,-0.001192,0.002547,0.000802,-0.001952,-0.000727,0.000314,0.002496,0.000020,0.000016,0.000166,0.000111,0.000003,-0.000042,0.000038,-0.000037,0.000048,-0.000018,0.000074,0.000018,-0.000017,-0.000075,0.000017,-0.000013,0.000228,0.000012,-0.002585,0.000393,-0.002939,-0.000105,-0.000466,-0.000722,-0.000813,-0.000120,0.000067,-0.000067,0.000114,0.000001,0.000093,0.000192,-0.000197,-0.000094,0.000002,0.000012,0.000341,-0.000011,0.003211,-0.000121,-0.008719,0.002094,-0.001123,0.000705,-0.001083
0.000132,-0.000232,-0.000636,0.002134,0.001516,-0.001741,0.004657,-0.001865,0.001997,0.000076,0.000070,0.000065,0.016385,0.001296,0.006156,0.007105,-0.001806,-0.000028,-0.001741,0.003988,0.001170,0.003710,0.001620,-0.003480,-0.000082,-0.000077,0.000073,0.015781,0.001248,-0.005752,0.006241,-0.001525,-0.000113,-0.001698,0.003986,0.001165,-0.006239,-0.002076,0.001013,0.004083,0.000024,0.000068,0.000198,0.000316,0.000006,-0.000051,0.000047,-0.000045,0.000067,-0.000034,0.000128,0.000036,-0.000030,-0.000127,0.000030,-0.000037,0.000372,0.000035,-0.005178,0.001114,-0.003229,0.000021,-0.000631,-0.000642,-0.000877,-0.000277,0.000128,-0.000131,0.000261,0.000020,0.000190,0.000526,-0.000538,-0.000192,-0.000013,0.000037,0.000718,-0.000033,0.011748,-0.000282,-0.019695,0.006332,-0.002657,0.003416,-0.001806
0.000188,0.000056,-0.000898,0.008121,0.003233,-0.002424,-0.000690,-0.003814,0.001364,0.000082,0.000076,0.000081,0.019208,0.001494,0.007159,0.009017,-0.001275,-0.000161,-0.002230,0.005618,0.001563,-0.001900,0.003632,-0.006279,-0.000094,-0.000089,0.000098,0.018391,0.001460,-0.006645,-0.004030,-0.001466,-0.001327,-0.002171,0.005619,0.001554,-0.014474,-0.004103,0.001127,0.006314,0.000002,-0.000084,0.000181,0.000524,-0.000241,-0.000040,0.000042,-0.000039,0.000067,-0.000047,0.000196,0.000039,-0.000025,-0.000195,0.000041,-0.000069,0.000523,0.000066,-0.009306,0.002427,-0.001680,0.000433,-0.000887,-0.000111,-0.000652,-0.000508,0.000202,-0.000206,0.000479,0.000031,0.000364,0.000942,-0.000962,-0.000365,-0.000020,0.000069,0.001335,-0.000062,0.023323,-0.000365,-0.034692,0.011542,-0.004859,0.006515,-0.003201
0.000246,0.000487,-0.001200,0.016410,0.005750,-0.003202,-0.008919,-0.006666,0.000004,0.000083,0.000077,0.000095,0.021200,0.001616,0.007835,0.011223,-0.000240,-0.000388,-0.002700,0.007385,0.001972,-0.010366,0.006666,-0.009921,-0.000100,-0.000095,0.000123,0.020151,0.001610,-0.007212,-0.012661,-0.001090,-0.002748,-0.002624,0.007390,0.001960,-0.025544,-0.006952,0.001369,0.009094,-0.000291,-0.000524,0.000163,0.000659,-0.000633,-0.000077,0.000037,-0.000034,0.000112,-0.000066,0.000248,0.000111,-0.000090,-0.000252,0.000059,-0.000101,0.000701,0.000098,-0.010799,0.003341,-0.001902,0.000865,-0.000878,0.000468,-0.000436,-0.000798,0.000293,-0.000299,0.000762,0.000027,0.000623,0.001404,-0.001438,-0.000620,-0.000010,0.000101,0.002198,-0.000089,0.037157,-0.000379,-0.052560,0.017168,-0.007581,0.009683,-0.005232
0.000318,0.000974,-0.001538,0.025911,0.009009,-0.004218,-0.018596,-0.010366,-0.001666,0.000083,0.000077,0.000106,0.022845,0.001705,0.008381,0.013857,0.001066,-0.000695,-0.003170,0.009242,0.002381,-0.020337,0.010624,-0.013990,-0.000103,-0.000098,0.000147,0.021346,0.001720,-0.007573,-0.019824,-0.000979,-0.004709,-0.003066,0.009253,0.002374,-0.038191,-0.010613,0.001897,0.012260,-0.000886,-0.001279,0.000156,0.000724,-0.001118,-0.000135,0.000033,-0.000031,0.000171,-0.000085,0.000288,0.000211,-0.000182,-0.000300,0.000077,-0.000133,0.000873,0.000131,-0.010376,0.004080,-0.002635,0.001305,-0.000837,0.001007,-0.000282,-0.001136,0.000404,-0.000410,0.001097,0.000007,0.000966,0.001882,-0.001932,-0.000959,0.000015,0.000130,0.003290,-0.000116,0.052780,-0.000340,-0.072290,0.022814,-0.010666,0.012758,-0.007788
0.000399,0.001322,-0.001830,0.034178,0.012905,-0.005371,-0.026996,-0.014802,-0.003654,0.000088,0.000081,0.000113,0.024457,0.001793,0.008925,0.017035,0.002304,-0.001062,-0.003650,0.011153,0.002779,-0.028949,0.015341,-0.018300,-0.000111,-0.000106,0.000168,0.022616,0.001841,-0.007975,-0.025180,-0.001087,-0.006946,-0.003523,0.011171,0.002778,-0.049098,-0.014941,0.002648,0.014951,-0.001797,-0.002363,-0.000238,0.000618,-0.005115,-0.000169,0.000033,-0.000035,0.000223,-0.000101,0.000321,0.000310,-0.000274,-0.000344,0.000095,-0.000165,0.001020,0.000164,-0.008712,0.004822,-0.002545,0.001933,-0.001172,0.001471,-0.000340,-0.001529,0.000542,-0.000544,0.001473,-0.000031,0.001406,0.002293,-0.002364,-0.001396,0.000058,0.000157,0.004616,-0.000140,0.068843,-0.000271,-0.091239,0.027422,-0.013786,0.015102,-0.010712
0.000458,0.001328,-0.001999,0.038682,0.017613,-0.006271,-0.031357,-0.020160,-0.006418,0.000103,0.000096,0.000115,0.026355,0.001902,0.009581,0.022479,0.003963,-0.001458,-0.004154,0.013089,0.003152,-0.033050,0.021032,-0.022539,-0.000136,-0.000130,0.000187,0.025023,0.002062,-0.008817,-0.027809,-0.001441,-0.009662,-0.004044,0.013100,0.003134,-0.054882,-0.019967,0.002954,0.016339,-0.002768,-0.003556,-0.001861,0.000586,-0.006158,-0.000224,0.000057,-0.000059,0.000272,-0.000106,0.000356,0.000372,-0.000335,-0.000397,0.000103,-0.000199,0.001157,0.000200,-0.006060,0.005569,-0.001373,0.002708,-0.002117,0.001642,-0.000843,-0.001916,0.000705,-0.000707,0.001867,-0.000085,0.001927,0.002651,-0.002746,-0.001915,0.000118,0.000181,0.006124,-0.000162,0.085120,-0.000070,-0.107862,0.031454,-0.017266,0.017033,-0.013918
